Nombre,Marca,Tienda,Puntuacion,Cantidad de puntuaciones,Precio real,Precio oferta,Descuento,Imagen
Laptop Nueva Lenovo V15 G3 I3 12va 24gbram 256gbssd + 1tbhdd,LENOVO,No disponible,4.6,(15),S/1.882,S/1.769,6% OFF,https://http2.mlstatic.com/D_Q_NP_2X_667664-MPE81100927182_122024-AB-laptop-nueva-lenovo-v15-g3-i3-12va-24gbram-256gbssd-1tbhdd.webp
Monitor Gamer Samsung Con Pantalla De 34  100hz 220v Color Negro,SAMSUNG,Por Samsung ,4.8,(26),S/1.449,S/859,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_601743-MLA84548473192_052025-AB.webp
Apple Watch Serie 10 42mm Aluminio Sport Band Gps,APPLE,Por Cases World ,4.9,(22),S/1.977,S/1.739,12% OFF,https://http2.mlstatic.com/D_Q_NP_2X_685297-MPE79348238952_092024-AB-apple-watch-serie-10-42mm-aluminio-sport-band-gps.webp
Colchón Calm Original De Memory Foam 2 Plazas,CALM,Por Hola Calm ,4.4,(27),S/2.499,S/1.099,56% OFF,https://http2.mlstatic.com/D_Q_NP_2X_799639-MPE84825386532_052025-AB-colchon-calm-original-de-memory-foam-2-plazas.webp
43'' Qled 4k Q65d Tizen Os Smart Tv (2024),SAMSUNG,Por Samsung ,4.6,(34),S/1.598,S/959,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_955963-MPE80456082604_112024-AB-43-qled-4k-q65d-tizen-os-smart-tv-2024.webp
Samsung Galaxy S25 Ultra 5g 512gb 12gb Ram Dual Sim Sellado,SAMSUNG,No disponible,5.0,(8),S/6.959,S/4.592,34% OFF,https://http2.mlstatic.com/D_Q_NP_2X_804179-MPE81956908366_022025-AB-samsung-galaxy-s25-ultra-5g-512gb-12gb-ram-dual-sim-sellado.webp
Dongguan Liesheng Haylou S30 Pro Con Micrófono Bt5.4 Color Azul Oscuro,HAYLOU,Por Ofertec ,5.0,(3),"S/227,14",S/139,38% OFF,https://http2.mlstatic.com/D_Q_NP_2X_866556-MLU77150471939_062024-AB.webp
Tp-link Archer Ax12 Router Wifi 6 Ax1500 1.5gb De Doble Banda 3 Puertos Lan Gigabit Color Negro,TP-LINK,Por Work Solution ,4.8,(74),S/289,S/149,48% OFF,https://http2.mlstatic.com/D_Q_NP_2X_813279-MLU71697537538_092023-AB.webp
Nitro Tech 100% Whey Gold 5lb Sabor Double Chocolate,MUSCLETECH,Por Lab Nutrition ,4.8,(176),S/399,"S/259,90",34% OFF,https://http2.mlstatic.com/D_Q_NP_2X_845394-MLU70591166543_072023-AB.webp
Nintendo Switch Oled Blanco + Crt + Smash + Mario 3d World,NINTENDO,Por Game Center ,4.9,(39),S/2.493,S/1.745,30% OFF,https://http2.mlstatic.com/D_Q_NP_2X_911259-MPE53250734436_012023-AB-nintendo-switch-oled-blanco-crt-smash-mario-3d-world.webp
Amazon Echo Dot 5th Gen Con Asistente Virtual Alexa Negro 110v/240v Color Negro,AMAZON,Por Reolink ,4.8,(1311),S/259,S/175,32% OFF,https://http2.mlstatic.com/D_Q_NP_2X_746297-MLA79401219670_092024-AB.webp
